"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-06-01","97","63.5","113.6","15.3","1.504","25.9","149"
"2014-06-02","53","30","53.5","10.9","1.102","21","128"
"2014-06-03","77","50.5","82.8","20.8","1.386","37.8","135"
"2014-06-04","98","68.4","108.8","34.2","1.793","53.3","160"
"2014-06-05","67","40.3","67.3","20.1","1.257","32.4","198"
"2014-06-06","106","72.5","121.9","35.7","1.45","40.9","178"
"2014-06-07","37","17.5","26.6","6.3","0.841","28.3","102"
"2014-06-08","90","58.3","97.7","30.4","1.227","49.3","201"
"2014-06-09","79","48.5","77.6","19.9","1.279","40.7","199"
"2014-06-10","81","58.4","83.7","16.7","1.455","37.7","122"
"2014-06-11","106","75.6","89.3","16.9","1.493","37","146"
"2014-06-12","111","70.6","100.4","25.8","1.792","45.9","173"
"2014-06-13","71","38.7","82.6","24","1.64","48.2","128"
"2014-06-14","82","38","73.3","18.7","1.297","43.1","232"
"2014-06-15","104","71.5","130.5","24","1.436","42.7","201"
"2014-06-16","144","107.9","137.1","14.3","1.435","25.9","204"
"2014-06-17","124","92.7","123.8","20.3","1.677","35.5","180"
"2014-06-18","132","99.4","129","17.5","1.876","47","145"
"2014-06-19","108","76.1","101.3","21.6","1.563","47.5","116"
"2014-06-20","54","30.8","50.2","12.3","1.218","35.9","117"
"2014-06-21","67","42.6","64.3","14.2","1","30.8","133"
"2014-06-22","74","45.6","73","11.3","1.031","38.8","171"
"2014-06-23","76","37.6","60.8","18.7","1.242","39.5","181"
"2014-06-24","99","52","93.5","30","1.447","44.8","196"
"2014-06-25","106","72.9","109.3","29","1.378","53.5","116"
"2014-06-26","139","101.1","127.5","17.7","1.551","40.5","230"
"2014-06-27","63","27.6","63.1","10.1","0.934","39.2","135"
"2014-06-28","79","39.5","87.9","28.7","1.3","57.3","136"
"2014-06-29","111","53.7","145.5","30.3","1.561","68.1","185"
"2014-06-30","106","53.7","114.3","36","1.429","49.5","206"
"2014-07-01","110","78","139.8","38.3","1.432","45.5","198"
"2014-07-02","92","58.8","82","10.2","1.247","30","146"
"2014-07-03","151","114.1","136","31.9","1.581","41.6","174"
"2014-07-04","174","133.7","155.8","6.6","1.751","57","135"
"2014-07-05","135","102.6","137","10.2","1.945","58","166"
"2014-07-06","124","86.8","109.4","18.5","1.202","33","208"
"2014-07-07","99","63.2","100.4","40.6","1.208","40.8","234"
"2014-07-08","164","114.7","156.3","21.4","1.467","40.3","215"
"2014-07-09","74","33.9","93.6","17.5","1.267","62.4","125"
"2014-07-10","83","32.1","83.7","25.2","1.489","36.6","198"
"2014-07-11","122","74.5","114.7","22.1","1.55","30.5","211"
"2014-07-12","140","91.5","140.2","33.9","2.551","38.3","227"
"2014-07-13","120","71.3","105.7","25.8","1.567","40.7","196"
"2014-07-14","117","61.7","132.8","39.8","1.441","58.5","221"
"2014-07-15","100","40.8","73.7","20","0.966","21.8","187"
"2014-07-16","123","87.7","114.5","26.2","1.291","36.5","164"
"2014-07-17","83","53.6","76.1","12.3","1.325","31.7","187"
"2014-07-18","130","90.8","123","8.2","1.237","36","180"
"2014-07-19","114","83","114.5","10.5","1.135","30","179"
"2014-07-20","79","51.4","86.7","14.2","0.972","24.2","153"
"2014-07-21","94","63.1","97.6","10.4","1.154","30.1","130"
"2014-07-22","64","30.7","75.3","18.5","1.368","53.9","53"
"2014-07-23","60","26.9","65.6","23.3","1.539","43.1","137"
"2014-07-24","79","53.3","96.3","22.1","1.784","51.2","81"
"2014-07-25","96","63.4","116.4","31.9","2.282","44.8","188"
"2014-07-26","108","67","110.4","29.4","1.354","33.3","196"
"2014-07-27","131","97.4","138.6","29.3","1.442","33.1","190"
"2014-07-28","155","114.3","149.4","23.2","1.436","30.2","203"
"2014-07-29","166","125.3","178.8","33.6","1.876","34.3","193"
"2014-07-30","118","88.8","123.6","13.8","1.83","32.5","118"
"2014-07-31","116","87","111.9","20","1.622","34.3","141"
"2014-08-01","84","58.9","86.7","11.8","1.435","33.4","95"
"2014-08-02","69","45.9","76.6","15.6","1.135","31.6","131"
"2014-08-03","95","63.8","122.4","23.4","1.964","48.3","147"
"2014-08-04","86","63","84.4","12.8","2.523","38.3","76"
"2014-08-05","48","30","50.8","13.2","1.417","36.5","128"
"2014-08-06","87","58.9","102.3","26","1.897","56.2","149"
"2014-08-07","75","45.1","91.1","30.3","1.741","47","132"
"2014-08-08","83","48.1","112.3","36.2","1.755","57","166"
"2014-08-09","71","43.4","88.4","14.1","1.135","35.9","141"
"2014-08-10","82","49.5","97.6","20.8","1.351","31.9","190"
"2014-08-11","88","50.8","103.2","22.7","1.404","44.3","116"
"2014-08-12","86","49.9","114","45.2","2.212","62.5","164"
"2014-08-13","48","25","47.8","10","1.162","31.2","90"
"2014-08-14","68","37.5","59.7","14.3","1.112","34.7","164"
"2014-08-15","86","48.8","95.6","27.7","1.399","44.3","189"
"2014-08-16","137","102.1","170.8","30.8","1.819","54.9","193"
"2014-08-17","70","42","80","15.7","1.296","27.9","126"
"2014-08-18","86","57.9","92.3","23.4","1.395","36.3","136"
"2014-08-19","101","67.8","104.8","28.9","1.716","40","178"
"2014-08-20","103","75.7","124.4","32.1","1.466","36.1","163"
"2014-08-21","140","99.7","157.1","24.7","1.622","35.2","164"
"2014-08-22","92","62.3","126.5","18.9","1.565","40","145"
"2014-08-23","113","83.5","130.6","22.4","1.653","34.5","136"
"2014-08-24","57","32.1","60.3","10.1","1.457","29.1","130"
"2014-08-25","54","24.2","58.6","14.1","1.253","33.3","109"
"2014-08-26","89","53.3","110.5","18.3","0.978","53.4","128"
"2014-08-27","116","74.5","162.2","18.6","1.035","68.2","151"
"2014-08-28","116","81.5","139.4","21","1.006","44","108"
"2014-08-29","90","66.4","85","9.1","0.895","24.2","115"
"2014-08-30","103","76.2","99.6","14.1","0.865","29.8","107"
"2014-08-31","64","45.1","58","7","1.192","25.2","77"
"2014-09-01","92","66.2","84.7","11.4","1.332","29.5","94"
"2014-09-02","51","35.9","39.2","7.2","0.915","18.3","65"
"2014-09-03","33","15","32.5","8.8","0.726","22.3","84"
"2014-09-04","61","33.1","70.7","17.1","0.769","28.8","102"
"2014-09-05","85","60.2","95.3","22.2","1.01","28.6","130"
"2014-09-06","134","101.2","130.2","16.9","1.047","34.4","140"
"2014-09-07","153","115.3","136.9","18","1.182","33.6","125"
"2014-09-08","73","43","70.6","9.6","0.755","23.3","84"
"2014-09-09","57","25.4","58","15.1","0.986","29.5","140"
"2014-09-10","62","30.3","72.1","11.5","0.879","39.3","122"
"2014-09-11","73","45.2","89.7","27.6","0.974","40.6","71"
"2014-09-12","73","51","73.6","13","0.958","36.3","60"
"2014-09-13","81","52.8","87","26.2","1.372","42.5","165"
"2014-09-14","98","70.4","110.9","23.5","1.633","58.7","44"
"2014-09-15","59","35.4","64.9","20.1","1.363","47.9","74"
"2014-09-16","94","67.5","112.6","35.8","1.442","55.3","80"
"2014-09-17","55","37.7","54.3","21.7","1.059","35.2","75"
"2014-09-18","94","64.8","98.1","30","2.042","58.4","138"
"2014-09-19","92","67.3","94.5","28.8","1.24","40.3","112"
"2014-09-20","121","90.6","127","33.8","1.702","47.8","88"
"2014-09-21","68","45.2","76.8","21","1.432","41.2","95"
"2014-09-22","85","58","96.8","27.4","1.486","48","135"
"2014-09-23","111","83.2","106.2","27.3","2.93","49","39"
"2014-09-24","57","39.5","58.3","30.6","2.022","40.9","60"
"2014-09-25","70","47.9","72","27","1.617","50.6","141"
"2014-09-26","138","104","150.9","43.5","1.97","49.9","150"
"2014-09-27","105","71","100","13.1","1.2","43.3","87"
"2014-09-28","68","36.8","82.5","13.7","0.739","50.9","71"
"2014-09-29","94","60.8","105.9","20.2","1.147","43.1","67"
"2014-09-30","46","19.3","47.2","18.4","0.925","35.8","36"
"2014-10-01","101","71.2","98.7","33","0.854","48.4","67"
"2014-10-02","104","77.3","81.9","13.3","1.091","41","65"
"2014-10-03","89","64.3","73.8","14.5","1.268","32.1","82"
"2014-10-04","48","33.9","44.2","7.6","0.762","22","58"
"2014-10-05","52","31.9","48.6","6.6","1.018","26.7","65"
"2014-10-06","55","31.4","60.9","10.7","0.744","40.8","70"
"2014-10-07","135","101.1","165.2","27.7","1.272","57.9","130"
"2014-10-08","209","162.4","221.9","28.4","1.226","64.4","120"
"2014-10-09","223","172.3","221.5","29.8","1.413","69.1","117"
"2014-10-10","231","180.7","228.7","26.4","1.617","63","125"
"2014-10-11","133","99.9","133.3","12.8","1.222","49.7","98"
"2014-10-12","42","16.8","42.2","5.4","0.486","24.9","46"
"2014-10-13","52","25.7","59.5","8.7","0.649","33.5","58"
"2014-10-14","112","83.2","130.7","26","0.91","54.2","76"
"2014-10-15","124","82.7","141.3","17.1","0.866","42.7","58"
"2014-10-16","72","34.8","91","14.3","0.766","45.4","63"
"2014-10-17","160","117.3","231.9","28.9","1.257","76.3","97"
"2014-10-18","210","162.1","259.7","27.7","1.362","79.1","104"
"2014-10-19","187","141.8","193.8","21.9","1.263","56.5","54"
"2014-10-20","168","125.6","154.3","11.6","1.191","38.7","40"
"2014-10-21","60","26.6","69.1","17.2","0.821","35.5","33"
"2014-10-22","74","42.8","95.3","17.1","0.792","53.1","31"
"2014-10-23","206","163.3","233.7","19.1","1.175","63.7","19"
"2014-10-24","286","234.9","296.3","12.3","1.332","60.3","50"
"2014-10-25","263","211.7","267.8","8.9","1.871","70.3","14"
"2014-10-26","167","121.5","189.4","9.5","1.647","42.7","52"
"2014-10-27","60","24.2","67.5","11.8","0.71","38.7","39"
"2014-10-28","65","36.5","75.1","13.4","0.841","53.6","56"
"2014-10-29","142","104.1","166.1","39.1","1.31","78.1","74"
"2014-10-30","188","143.2","202.2","48.4","1.814","97.4","43"
"2014-10-31","188","143.4","177.6","23.9","1.843","75.6","39"
"2014-11-01","157","117","149.8","14.3","1.673","67.4","47"
"2014-11-02","50","19.5","52.8","7.9","0.649","33.5","63"
"2014-11-03","95","67.4","106.8","34.4","1.194","61.7","78"
"2014-11-04","112","79.1","141.8","45.1","1.272","62.9","87"
"2014-11-05","109","77.3","130.5","34.8","1.265","66","74"
"2014-11-06","48","20.7","50.9","19.3","1.091","33.8","72"
"2014-11-07","59","36.7","64","24.3","1.214","48.9","39"
"2014-11-08","83","60.6","80.6","22.6","1.118","50","83"
