"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-04-10","278","86.5","385.5","27.3","1.275","51.7","77"
"2014-04-11","89","59.6","112.5","16.7","0.964","60.3","107"
"2014-04-12","131","99.6","135.6","24.8","1.443","75.4","149"
"2014-04-13","204","157.4","190.4","25.4","1.294","71.4","227"
"2014-04-14","279","228.9","262.7","32.7","1.894","78.8","224"
"2014-04-15","132","91.4","142","16.1","0.966","61.3","118"
"2014-04-16","83","51","113.4","11.7","0.74","68.1","93"
"2014-04-17","122","91.4","124.5","18.5","1.383","70.5","118"
"2014-04-18","182","138.1","124.1","16.6","1.538","64.5","140"
"2014-04-19","83","61.4","83.5","14.7","0.776","64.5","90"
"2014-04-20","83","59.9","79.6","7.4","0.632","53.8","117"
"2014-04-21","69","48.3","79.3","7.1","0.577","55.7","119"
"2014-04-22","80","57.9","101.4","9.1","0.582","54.2","163"
"2014-04-23","153","115.6","147","20.7","0.901","41.3","169"
"2014-04-24","153","115.4","133.5","18.7","0.92","46.9","162"
"2014-04-25","175","129.4","189.7","20.3","1.027","68.7","206"
"2014-04-26","66","37.4","82.2","4","0.35","27.6","94"
"2014-04-27","76","51","93","6.4","0.633","47.7","143"
"2014-04-28","84","61.4","97.9","8","0.715","49.1","159"
"2014-04-29","119","89.3","143.3","17.1","0.936","67.8","197"
"2014-04-30","139","102.7","158.2","19.1","0.974","67","217"
"2014-05-01","167","121","186.3","18.6","0.846","41","199"
"2014-05-02","49","22.5","46","2.9","0.287","21.1","100"
"2014-05-03","94","37.7","127.3","6","0.424","43.3","97"
"2014-05-04","55","25.8","59.4","3.4","0.343","17.2","91"
"2014-05-05","50","23","52.9","3.6","0.425","36","105"
"2014-05-06","100","73.8","124.4","26.9","0.917","61.5","131"
"2014-05-07","96","62.8","102.2","11.8","0.905","45","109"
"2014-05-08","103","74.5","107.5","15.5","0.994","46.1","174"
"2014-05-09","88","61.2","106.1","32.6","1.298","52","120"
"2014-05-10","72","50.3","87.1","27.2","1.173","50.1","108"
"2014-05-11","45","24","20.1","3.3","0.825","29.4","102"
"2014-05-12","61","34.4","68.4","6.8","0.646","43.9","146"
"2014-05-13","89","51.6","123.6","9.9","0.657","57","127"
"2014-05-14","55","17.3","62.8","7.3","0.289","26","93"
"2014-05-15","116","59.4","181","7.3","0.547","60.6","126"
"2014-05-16","90","44.8","121.2","9.5","0.552","48.6","133"
"2014-05-17","99","56.3","120.3","24.6","0.98","59.8","215"
"2014-05-18","110","77","141.7","23.4","0.935","55.9","258"
"2014-05-19","142","106","158.5","14.5","0.991","44.5","246"
"2014-05-20","121","78.9","129.8","9.2","0.891","45.9","170"
"2014-05-21","142","107.2","168.3","25.3","1.459","52.7","267"
"2014-05-22","190","136.2","195.8","36.7","1.414","61.4","261"
"2014-05-23","127","80.8","155.9","19.6","0.81","55.2","203"
"2014-05-24","102","75.7","80","6","1.006","45.9","101"
"2014-05-25","121","65.5","114.5","2.1","0.669","29","101"
"2014-05-26","66","21.8","76.7","4.6","0.441","54.7","148"
"2014-05-27","103","34.8","144.6","4","0.381","42.2","114"
"2014-05-28","78","29.9","87","8.3","0.607","54.8","210"
"2014-05-29","96","42.3","115.1","10.3","0.671","60.2","196"
"2014-05-30","145","84","171.3","36.9","1.55","53.2","343"
"2014-05-31","161","114.1","215.4","45.2","2.135","57.8","303"
"2014-06-01","94","44.5","55.3","2.3","0.627","25.7","179"
"2014-06-02","63","26.4","42.7","2.4","0.443","25.5","163"
"2014-06-03","73","32.7","61.2","13.4","0.567","40.6","194"
"2014-06-04","98","52.9","89.4","8.9","0.845","45","217"
"2014-06-05","100","58.5","93.4","11.2","0.822","41.4","253"
"2014-06-06","76","48.6","70.8","11.7","1.066","39.3","85"
"2014-06-07","38","9.3","25.9","2.1","0.341","27","102"
"2014-06-08","57","26.6","58","7.4","0.683","54.4","169"
"2014-06-09","58","27.1","52.9","6.3","0.595","43","160"
"2014-06-10","91","66.6","84.8","6.4","1.168","42.5","154"
"2014-06-11","71","39.9","40.7","2.9","0.719","31.9","133"
"2014-06-12","63","24.4","56.1","5.5","0.509","38.8","146"
"2014-06-13","95","48.4","84","8.1","0.853","41.1","224"
"2014-06-14","85","38.4","67.9","3.2","0.64","38.2","252"
"2014-06-15","151","101.3","144.9","14.5","1.167","49.3","280"
"2014-06-16","166","125.6","149.2","3.4","1.01","40.5","226"
"2014-06-17","126","87.7","106.6","3.4","0.925","34.7","184"
"2014-06-18","87","60.9","72","3.9","0.728","36","222"
"2014-06-19","159","120.7","132","5.3","1.161","44.5","175"
"2014-06-20","71","43.6","37.9","2.4","0.793","27.4","156"
"2014-06-21","100","65.3","63","4.6","0.958","33.7","177"
"2014-06-22","60","28.9","41","2.1","0.577","30.7","163"
"2014-06-23","63","23.3","43.8","2","0.477","37.6","194"
"2014-06-24","97","49.1","86.8","5.7","0.729","51.9","233"
"2014-06-25","137","102.2","125","10","1.197","48","145"
"2014-06-26","176","126.9","50.7","3.8","1.063","33","242"
"2014-06-27","47","18.6","40.5","2.8","0.425","33.9","117"
"2014-06-28","50","19.4","45.3","5.4","0.434","41.6","133"
"2014-06-29","85","41.6","84.1","10.7","0.999","51.9","240"
